Matches,FTHG,FTAG,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,FTR,FTG
WAT v LEI,2,1,1,0,1,6,14,5,2,15,12,1,5,5,1,0,0,1,3
CAR v WHM,2,0,1,0,1,16,9,7,2,7,12,7,5,2,1,0,0,1,2
CRY v BRI,1,2,0,1,-1,15,4,3,3,8,18,8,0,1,5,0,0,-1,3
HUD v BOU,0,2,0,1,-1,8,8,1,5,14,9,6,5,3,1,0,0,-1,2
LEI v FUL,3,1,1,0,1,18,6,8,3,9,13,6,5,0,2,0,0,1,4
MC v WAT,3,1,0,0,0,19,2,9,1,11,7,9,1,1,1,0,0,1,4
NEW v EVE,3,2,0,2,-1,19,7,7,3,13,10,8,2,3,1,0,0,1,5
SOU v TOT,2,1,0,1,-1,12,16,4,5,16,9,1,10,4,2,0,0,1,3
ARS v MU,2,0,1,0,1,14,14,3,4,12,18,5,2,2,2,0,0,1,2
CHE v WOL,1,1,0,0,0,22,2,6,1,8,14,13,0,1,4,0,0,0,2
LIV v BUR,4,2,2,1,1,23,3,5,2,4,7,7,3,2,0,0,0,1,6
BOU v NEW,2,2,0,1,-1,10,12,3,4,9,12,6,6,3,2,0,0,0,4
BUR v LEI,1,2,1,1,0,13,9,2,4,9,10,9,3,1,1,0,1,-1,3
WHM v HUD,4,3,1,2,-1,16,15,5,5,7,15,5,8,0,2,0,0,1,7
EVE v CHE,2,0,0,0,0,15,16,8,5,17,9,3,4,1,2,0,0,1,2
FUL v LIV,1,2,0,1,-1,7,16,2,6,11,7,1,10,2,1,0,0,-1,3
BRI v SOU,0,1,0,0,0,14,8,1,2,8,10,6,5,1,2,0,0,-1,1
BUR v WOL,2,0,1,0,1,5,8,1,1,12,10,1,5,1,1,0,0,1,2
CRY v HUD,2,0,0,0,0,19,15,5,5,10,7,5,5,0,0,0,0,1,2
FUL v MC,0,2,0,2,-1,5,24,0,7,4,12,0,11,2,0,0,0,-1,2
LEI v BOU,2,0,1,0,1,18,8,4,2,6,12,6,1,0,2,0,0,1,2
MU v WAT,2,1,1,0,1,8,20,5,8,14,9,3,5,1,2,0,0,1,3
WHM v EVE,0,2,0,2,-1,3,17,1,9,7,14,4,9,1,1,0,0,-1,2
CAR v CHE,1,2,0,0,0,8,21,3,3,8,14,2,7,2,3,0,0,-1,3
LIV v TOT,2,1,1,0,1,14,11,3,2,5,8,10,3,0,1,0,0,1,3
ARS v NEW,2,0,1,0,1,7,3,4,1,11,10,6,2,2,0,0,0,1,2
WAT v FUL,4,1,1,1,0,15,17,7,7,12,5,6,4,3,2,0,0,1,5
WOL v MU,2,1,1,1,0,9,18,2,4,5,11,3,5,1,2,0,1,1,3
CHE v BRI,3,0,1,0,1,17,3,4,1,5,9,7,1,0,0,0,0,1,3
MC v CAR,2,0,2,0,1,27,4,11,1,3,17,7,4,0,3,0,0,1,2
TOT v CRY,2,0,0,0,0,26,5,10,1,8,5,8,2,1,0,0,0,1,2
SOU v LIV,1,3,1,1,0,11,17,1,5,8,7,7,5,2,4,0,0,-1,4
BOU v BUR,1,3,1,2,-1,10,11,2,3,12,16,3,6,2,3,0,0,-1,4
HUD v LEI,1,4,0,1,-1,10,18,4,9,13,11,8,5,3,0,0,0,-1,5
NEW v CRY,0,1,0,0,0,18,3,5,1,12,13,9,4,1,2,0,0,-1,1
EVE v ARS,1,0,1,0,1,23,7,6,2,8,9,9,6,1,4,0,0,1,1
CHE v WHM,2,0,1,0,1,16,9,7,2,8,7,7,4,2,1,0,0,1,2
LEI v NEW,0,1,0,1,-1,12,11,5,5,6,10,2,3,2,3,0,0,-1,1
BRI v BOU,0,5,0,1,-1,8,14,1,7,10,6,4,1,2,4,1,0,-1,5
BUR v CAR,2,0,1,0,1,14,14,7,2,7,10,8,4,2,3,0,0,1,2
